State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AZ,2.00,2.00,2.00,2.00,4.00,7.00,5.00,1.00,1.00,2.00,3.00,2.00
CO,18.00,11.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00
CT,7.50,6.00,2.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,5.50
NY,4.00,6.30,2.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.70,4.00
HI,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
MD,4.00,6.30,2.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.70,4.00
MA,7.50,6.00,2.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,5.50
MN,19.00,11.00,8.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,20.00
NV,1.00,1.00,1.00,4.00,7.00,10.00,1.00,1.00,4.00,7.00,1.00,1.00
NJ,4.00,6.30,2.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.70,4.00
NM,5.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,7.00
NC,1.70,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
CA,1.00,1.00,1.00,1.00,2.00,4.00,2.00,8.00,10.00,3.00,1.00,0.00
OR,4.00,6.30,2.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.70,4.00
PA,12.90,12.90,7.30,2.90,1.00,1.00,1.00,1.00,1.00,1.00,3.80,7.00
PR,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
TX,1.00,0.10,0.60,0.40,0.60,1.00,0.60,0.40,0.60,0.80,0.80,0.50
UT,1.00,1.00,1.00,4.00,7.00,10.00,1.00,1.00,4.00,7.00,1.00,1.00
VT,22.00,16.00,12.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,20.00
