Station,Name,State,Latitude,Longitude,MTS Jan,MTS Feb,MTS Mar,MTS Apr,MTS May,MTS Jun,MTS Jul,MTS Aug,MTS Sep,MTS Oct,MTS Nov,MTS Dec,Events Jan,Events Feb,Events Mar,Events Apr,Events May,Events Jun,Events Jul,Events Aug,Events Sep,Events Oct,Events Nov,Events Dec,MinTemp Jan,MinTemp Feb,MinTemp Mar,MinTemp Apr,MinTemp May,MinTemp Jun,MinTemp Jul,MinTemp Aug,MinTemp Sep,MinTemp Oct,MinTemp Nov,MinTemp Dec
USC00010063,ADDISON,AL,34.2553,-87.1814,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,29,32.9,39.9,47.8,56.5,64.3,68.1,67.1,60.3,48,39.7,32.2
USC00010160,ALEXANDER CITY,AL,32.9453,-85.9481,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,31.6,34.6,41.2,47.9,57.4,65.6,69.5,68.4,62,50,41.1,33.9
USC00010252,ANDALUSIA 3 W,AL,31.3072,-86.5225,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2,35.2,40.9,46.7,56,64.5,67.5,67.6,61.7,49.7,40.3,34.7
USC00010369,ASHLAND 3 ENE,AL,33.2942,-85.7789,0.8,0.3,0.6,0.2,0,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0.2,29.8,33.3,39.1,45.9,54.9,62.4,66.4,65.9,59.2,47.7,39.2,31.9
USC00010390,ATHENS,AL,34.7753,-86.9508,0.6,0.1,0.4,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0.1,30.2,34,40.2,48.2,57.7,65.6,69.5,68.4,61.3,49.4,40.4,32.9
USC00010402,ATMORE,AL,31.1819,-87.4389,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,40.1,46.6,52.9,61.8,68.5,70.9,70.5,65.6,55.1,46.3,39.4
USC00010425,AUBURN NO.2,AL,32.5992,-85.4653,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,33.2,37.9,42.7,49.7,58.8,66.9,70.4,69.8,64.4,53.3,43.9,35.5
USC00010430,AUBURN AGRONOMY FARM,AL,32.6,-85.5,0.5,0,0.1,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0.1,33.8,37.3,44.2,51.3,60.2,67,70.3,70.5,64.6,54.8,45,36.3
USC00010505,BANKHEAD LOCK & DAM,AL,33.4528,-87.3572,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,32.3,36.2,41.9,48.7,58.3,66.5,70.3,69.7,63.3,51.6,42.6,35.4
USC00010583,BAY MINETTE,AL,30.8839,-87.7853,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,39.1,42.3,48.4,55.3,63.5,70,72.2,72,67.5,57.3,48.8,41.4
USC00010655,BELLE MINA 2 N,AL,34.6892,-86.8819,0.4,0.2,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.1,27.5,30.5,37.5,45.4,54.9,62.8,66,64.4,57.4,45.7,36.8,29.8
USC00010764,BESSEMER 3 WSW,AL,33.3953,-87.0078,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,32.9,36.1,42.3,49.3,59.1,66.2,70.1,69.3,62.9,51.6,42.2,35.2
USC00011084,BREWTON 3 SSE                      HCN,AL,31.0583,-87.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,39.4,44.6,50.6,59.4,67.1,70.2,70,64.3,52.6,43.7,38.2
USC00011099,BRIDGEPORT 5 NW,AL,34.9786,-85.8008,0.8,0.2,0,0.1,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,27.7,31.5,37.9,45.7,55.1,63,67.1,66,59.3,46.6,38.2,30.1
USC00011301,CAMDEN 3 NW,AL,32.0289,-87.3167,0.1,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,35.2,38.5,45.2,52,60.4,68,70.3,69.9,64.6,53.6,44.4,37.3
USC00011620,CHILDERSBURG WTR PL,AL,33.285,-86.3431,0.3,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,32.7,36.2,42,48.6,57.7,65.3,68.8,67.8,61.3,50,41.1,34.9
USC00011694,CLANTON,AL,32.8203,-86.6522,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,32.2,35.1,41.7,48.2,57.8,65.4,69,68,61.7,50.3,41.3,34.6
USC00012096,CULLMAN NAHS,AL,34.1925,-86.7972,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.1,28.6,32.6,38.7,46.4,55.4,63.6,67.3,66.6,60.5,48,39.2,31.5
USC00012172,DAUPHIN ISLAND #2,AL,30.2506,-88.0775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,48.4,55.2,62.6,71.1,76.1,77.8,78,75,66.1,56.4,48.3
USC00012245,DEMOPOLIS L&D,AL,32.5192,-87.88,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,35.3,41.8,49.1,58.3,65.7,68.8,68.6,62.6,50.9,41.2,34.2
USC00012675,ENTERPRISE 4 W,AL,31.2975,-85.8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,41.7,47.4,53.5,62.1,69,71.4,71,66.3,56.6,47.8,40.4
USC00012730,EUFAULA WILDLIFE REF,AL,32.0111,-85.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,39.7,45.5,51.4,60.2,68.2,71.4,70.9,65.2,53.6,44.4,38
USC00012758,EVERGREEN,AL,31.445,-86.9533,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,35.6,38.4,44.3,50.8,59.9,67.4,70,69.8,64.9,54.1,44.5,38
USC00012813,FAIRHOPE 2 NE                      HCN,AL,30.5467,-87.8808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,42.6,48.8,55.1,63.6,70.5,72.7,72.3,67.6,57.3,48.7,41.8
USC00012883,FAYETTE,AL,33.6847,-87.8214,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,33.1,36.5,42.2,48.7,57.8,66.4,70.2,69.1,62,50.1,41.2,35.1
USC00013154,GADSDEN,AL,34.0219,-85.9878,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,30.8,34.4,41.1,48.9,58.2,66.6,70.6,69.7,63,51.1,40.5,33.6
USC00013251,GENEVA #2,AL,31.0383,-85.8708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,38.6,44.7,50.9,59.9,67.5,70,69.8,64.6,53.4,44.3,37.8
USC00013511,GREENSBORO                         HCN,AL,32.7019,-87.5814,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,36,39.5,45.2,51.8,61.1,68.8,72.1,71.5,65.5,54.2,44.4,38.4
USC00013519,GREENVILLE,AL,31.79,-86.6086,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,33.4,36.7,42.3,49.1,58.2,65.3,68.2,68.1,63.1,52.2,42.8,35.6
USC00013573,GUNTERSVILLE,AL,34.3344,-86.3297,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,31.8,34.4,41.3,48.9,58.4,66.7,70.3,69.8,63.3,51.9,42.2,34.2
USC00013620,HALEYVILLE,AL,34.2314,-87.6353,2.4,0.2,1.1,0.1,0,0,0,0,0,0,0,0.2,0.3,0.1,0.2,0,0,0,0,0,0,0,0,0.2,33.2,36.4,44.3,51.8,60.8,68.2,71.5,71,64.5,53.7,43.9,36
USC00013645,HAMILTON 3 S,AL,34.0967,-87.9914,0.5,0.7,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.1,0,0,0,0,0,0,0,0,0.1,26.2,29.3,35.7,43,53.3,62.2,66.5,65.5,58,45.4,35.9,28.9
USC00013655,HANCEVILLE,AL,34.0678,-86.7911,0.5,0.1,0.5,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0.1,30.2,33,39.9,47.5,56.6,64.1,68.3,67.2,60.3,48.8,39.5,31.7
USC00013761,HEADLAND,AL,31.3625,-85.3397,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,41.3,47.7,53.8,62.8,69.5,71.4,70.3,65.4,55.2,47.3,40.1
USC00013775,HEFLIN,AL,33.6483,-85.6006,0.6,0.2,0.6,0.2,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0.1,29.5,32.6,39.1,45.7,55.4,63.4,67.4,66.7,59.8,47.7,38.8,31.7
USC00014193,JACKSON,AL,31.5253,-87.9278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,38.6,44.5,51,59.8,67.4,70.3,69.8,64.3,52.8,43.3,37.6
USC00014226,JASPER,AL,33.9047,-87.3153,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,29.3,31.8,39.2,45.9,55.9,64.2,68.3,67.5,60.2,47.5,38.3,31.6
USC00014798,LIVINGSTON,AL,32.5811,-88.1897,0.1,0,0.2,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,32.4,35.8,41.9,49,58.7,66.6,69.9,69.3,62.7,50.1,40.4,34.3
