City,State,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BIRMINGHAM AP,AL,33.5206608,-86.80249,72,70,69,71,74,73,75.5,75,75.5,74,72.5,72.5
HUNTSVILLE,AL,34.7303688,-86.5861037,75,73,71,71,75,76,79,78.5,78,75.5,74.5,75
MOBILE,AL,30.6953657,-88.0398912,74.5,73.5,74,74.5,76,76.5,79,80,78.5,74.5,75.5,75.5
MONTGOMERY,AL,32.3668052,-86.2999689,73.5,71.5,71,73.5,75.5,76,79,79.5,77.5,75.5,75,74.5
ANCHORAGE,AK,61.2180556,-149.9002778,73.5,70.5,62.5,59.5,55.5,61.5,67.5,71,71.5,72,75,76.5
ANNETTE,AK,55.0616667,-131.5416667,79,76.5,73,70.5,70,72.5,76,77.5,80,81,80,80.5
BARROW,AK,71.2905556,-156.7886111,70,68,69,75.5,83.5,85,85.5,88,88,84.5,79,73
BARTER IS.,AK,70.1266685,-143.663435,70,67.5,67.5,74,84,87,86,88,87.5,83,75,70
BETHEL,AK,60.7922222,-161.7558333,76.5,75.5,76.5,76.5,70,68.5,76,81,80.5,81.5,82,78.5
BETTLES,AK,66.9188889,-151.5161111,69.5,66,62.5,61.5,55,53,61,68.5,69.5,74.5,72.5,71
BIG DELTA,AK,64.1525,-145.8422222,65.5,64.5,58.5,49.5,43.5,50,56.5,59.5,61.5,70.5,70,68
COLD BAY,AK,55.204498,-162.7183867,83.5,83,80.5,80,79.5,82,85.5,86.5,83.5,80,82,83
FAIRBANKS,AK,64.8377778,-147.7163889,71,68,60,52,44,51,59.5,65.5,66,73.5,75,73
GULKANA,AK,62.2086338,-145.4514817,72.5,70,61,53.5,48,50,57,59.5,63.5,72.5,75.5,74
HOMER,AK,59.6425,-151.5483333,76,74,70,67.5,66.5,68,72.5,74.5,73.5,72.5,74,76
JUNEAU,AK,58.3019444,-134.4197222,77,77,72.5,68,67,68,73.5,76,80.5,80.5,80,81
KING SALMON,AK,58.6883251,-156.661351,77.5,74,71.5,68.5,64,68,73.5,76.5,76,76.5,79,78
KODIAK,AK,57.79,-152.4072222,77,76,71.5,70.5,73,77,79.5,76.5,76,73,74,75.5
KOTZEBUE,AK,66.8983333,-162.5966666,73,73.5,72,77.5,80,78.5,79,80.5,78,79,77.5,75.5
MCGRATH,AK,62.9532043,-155.5959922,72.5,68.5,62,58,52.5,56.5,64.5,72,72,77,77.5,75.5
NOME,AK,64.5011111,-165.4063889,74,73,71.5,75.5,73.5,74.5,79.5,80.5,75.5,75.5,75.5,74
ST. PAUL ISLAND,AK,57.1224981,-170.2799461,82.5,85,83,83.5,85,87.5,91.5,91.5,86.5,81,80.5,82.5
TALKEETNA,AK,62.3209046,-150.1066221,69,67.5,62,58,55.5,60.5,69,73.5,72.5,72.5,72,71.5
UNALAKLEET,AK,63.8730556,-160.7880556,69.5,73,70,74.5,71.5,74,75,73,69.5,71.5,73.5,69
VALDEZ,AK,61.1308333,-146.3483333,73.5,69.5,64,60.5,61.5,64.5,71.5,72,73,70.5,70.5,75.5
YAKUTAT,AK,59.5469444,-139.7272222,83,81,75.5,73,73,76.5,80.5,82,83,84,83.5,84.5
FLAGSTAFF,AZ,35.1982836,-111.651302,62,59.5,55.5,48.5,44,36,52,60.5,55.5,54,56.5,62
PHOENIX,AZ,33.4483771,-112.0740373,46.5,42.5,38.5,27.5,22.5,19.5,31,35,33,34,39.5,48
TUCSON,AZ,32.2217429,-110.926479,46,42.5,37,28,22.5,21.5,41.5,48,40.5,37.5,39.5,47.5
