Version,1.0.0,,,,,
Sources,Perez-SUNY/NREL,2012,,,,
Lat,39.984979,Lon,-75.021809,,,
Annual values:-,Avg-DNI,3.98,Avg-GHI,4.03,Avg-Lat-Tilt,4.74
Warnings,,,,,,
Errors,,,,,,
,,,,,,
Month,Avg-dni,Avg-ghi,Avg-lat-tilt,,,
Jan,3.3,71.147,3.63,,,
Feb,4,85.762,4.47,,,
Mar,4.31,130.608,5.01,,,
Apr,4.3,158.426,5.16,,,
May,4.35,171.536,5.34,,,
Jun,4.31,187.428,5.35,,,
Jul,4.56,187.47,5.58,,,
Aug,4.24,176.165,5.36,,,
Sep,4.14,137.446,5.13,,,
Oct,3.8,104.142,4.52,,,
Nov,3.19,76.552,3.76,,,
Dec,3.28,63.235,3.54,,,
